Date of Entry,Crerar,Regenstein,Total
5/27/2016,427,4212,4639
5/28/2016,255,2524,2779
5/29/2016,415,3450,3865
5/30/2016,543,5628,6171
5/31/2016,678,7086,7764
6/1/2016,744,6530,7274
6/2/2016,650,6081,6731
6/3/2016,491,5225,5716
6/4/2016,336,3632,3968
6/5/2016,440,4491,4931
6/6/2016,647,6452,7099
6/7/2016,544,5458,6002
6/8/2016,486,5074,5560
6/9/2016,390,4180,4570
6/10/2016,214,2855,3069
6/11/2016,128,705,833
6/12/2016,143,396,539
6/13/2016,177,1660,1837
6/14/2016,192,1667,1859
6/15/2016,197,1724,1921
6/16/2016,171,1564,1735
6/17/2016,165,1295,1460
6/18/2016,114,520,634
6/19/2016,171,402,573
6/20/2016,240,2056,2296
6/21/2016,239,1943,2182
6/22/2016,260,1850,2110
6/23/2016,256,1952,2208
6/24/2016,210,1579,1789
6/25/2016,118,527,645
6/26/2016,165,607,772
6/27/2016,252,2130,2382
6/28/2016,239,1953,2192
6/29/2016,294,1845,2139
6/30/2016,243,1813,2056
7/1/2016,183,1295,1478
7/2/2016,134,476,610
7/3/2016,118,513,631
7/4/2016,,9,9
7/5/2016,235,1908,2143
7/6/2016,307,1797,2104
7/7/2016,228,1919,2147
7/8/2016,247,1437,1684
7/9/2016,124,517,641
7/10/2016,183,657,840
7/11/2016,250,1971,2221
7/12/2016,273,2031,2304
7/13/2016,295,2014,2309
7/14/2016,269,1977,2246
7/15/2016,210,1433,1643
7/16/2016,134,481,615
7/17/2016,171,566,737
7/18/2016,252,2034,2286
7/19/2016,295,1916,2211
7/20/2016,332,1976,2308
7/21/2016,242,1960,2202
7/22/2016,231,1525,1756
7/23/2016,180,610,790
7/24/2016,184,592,776
7/25/2016,247,1984,2231
7/26/2016,263,2007,2270
7/27/2016,258,1935,2193
7/28/2016,256,1817,2073
7/29/2016,169,1391,1560
7/30/2016,100,449,549
7/31/2016,147,481,628
8/1/2016,218,1662,1880
8/2/2016,224,1634,1858
8/3/2016,266,1700,1966
8/4/2016,211,1590,1801
8/5/2016,175,1220,1395
8/6/2016,119,435,554
8/7/2016,155,488,643
8/8/2016,244,1713,1957
8/9/2016,241,1551,1792
8/10/2016,277,1699,1976
8/11/2016,232,1586,1818
8/12/2016,177,1147,1324
8/13/2016,118,464,582
8/14/2016,123,471,594
8/15/2016,222,1530,1752
8/16/2016,240,1479,1719
8/17/2016,254,1432,1686
8/18/2016,239,1405,1644
8/19/2016,155,1106,1261
8/20/2016,106,369,475
8/21/2016,127,394,521
8/22/2016,222,1465,1687
8/23/2016,244,1456,1700
8/24/2016,226,1376,1602
8/25/2016,168,1591,1759
8/26/2016,152,1025,1177
8/27/2016,87,399,486
8/28/2016,217,16,233
8/29/2016,162,1362,1524
8/30/2016,157,1382,1539
8/31/2016,150,1320,1470
9/1/2016,142,1333,1475
9/2/2016,135,1018,1153
9/3/2016,80,394,474
9/4/2016,142,15,157
9/5/2016,,25,25
9/6/2016,148,1752,1900
9/7/2016,155,1749,1904
9/8/2016,150,1546,1696
9/9/2016,152,1336,1488
9/10/2016,89,480,569
9/11/2016,192,13,205
9/12/2016,219,1681,1900
9/13/2016,169,1706,1875
9/14/2016,185,1734,1919
9/15/2016,204,1689,1893
9/16/2016,187,1381,1568
9/17/2016,99,419,518
9/18/2016,209,14,223
9/19/2016,188,2207,2395
9/20/2016,193,2009,2202
9/21/2016,280,2359,2639
9/22/2016,343,2342,2685
9/23/2016,267,1940,2207
9/24/2016,153,859,1012
9/25/2016,250,904,1154
9/26/2016,695,5247,5942
9/27/2016,552,5616,6168
9/28/2016,569,5686,6255
9/29/2016,486,5350,5836
9/30/2016,294,4148,4442
10/1/2016,223,3,226
10/2/2016,319,,319
10/3/2016,848,6145,6993
10/4/2016,655,6338,6993
10/5/2016,661,6561,7222
10/6/2016,557,5496,6053
10/7/2016,425,4268,4693
10/8/2016,227,2078,2305
10/9/2016,335,3831,4166
10/10/2016,795,7620,8415
10/11/2016,730,6788,7518
10/12/2016,589,6586,7175
10/13/2016,588,6478,7066
10/14/2016,470,4415,4885
10/15/2016,245,2513,2758
10/16/2016,395,4186,4581
10/17/2016,809,7329,8138
10/18/2016,730,7132,7862
10/19/2016,622,6940,7562
10/20/2016,514,6554,7068
10/21/2016,412,4415,4827
10/22/2016,276,2705,2981
10/23/2016,420,4749,5169
10/24/2016,725,7377,8102
10/25/2016,727,7115,7842
10/26/2016,529,6437,6966
10/27/2016,528,5996,6524
10/28/2016,385,4170,4555
10/29/2016,266,2497,2763
10/30/2016,441,4487,4928
10/31/2016,685,7334,8019
11/1/2016,686,6679,7365
11/2/2016,526,6084,6610
11/3/2016,552,5801,6353
11/4/2016,385,3799,4184
11/5/2016,252,2405,2657
11/6/2016,408,4327,4735
11/7/2016,815,6933,7748
11/8/2016,575,5759,6334
11/9/2016,565,5684,6249
11/10/2016,498,5558,6056
11/11/2016,378,4214,4592
11/12/2016,266,2273,2539
11/13/2016,406,3934,4340
11/14/2016,655,6645,7300
11/15/2016,611,6406,7017
11/16/2016,612,6269,6881
11/17/2016,555,5453,6008
11/18/2016,352,3772,4124
11/19/2016,232,2100,2332
11/20/2016,352,3684,4036
11/21/2016,669,6350,7019
11/22/2016,420,4883,5303
11/23/2016,278,2497,2775
11/24/2016,,8,8
11/25/2016,92,820,912
11/26/2016,170,1436,1606
11/27/2016,218,2763,2981
11/28/2016,667,6527,7194
11/29/2016,683,7036,7719
11/30/2016,631,6083,6714
12/1/2016,630,6361,6991
12/2/2016,568,5903,6471
12/3/2016,375,4522,4897
12/4/2016,551,5468,6019
12/5/2016,698,7350,8048
12/6/2016,593,6597,7190
12/7/2016,547,5937,6484
12/8/2016,406,4283,4689
12/9/2016,234,2525,2759
12/10/2016,75,618,693
12/11/2016,94,287,381
12/12/2016,155,1527,1682
12/13/2016,118,1180,1298
12/14/2016,114,1048,1162
12/15/2016,120,772,892
12/16/2016,101,725,826
12/17/2016,58,247,305
12/18/2016,57,135,192
12/19/2016,102,825,927
12/20/2016,86,833,919
12/21/2016,94,739,833
12/22/2016,96,670,766
12/23/2016,72,429,501
12/24/2016,,9,9
12/26/2016,,11,11
12/27/2016,102,568,670
12/28/2016,60,597,657
12/29/2016,72,608,680
12/30/2016,82,560,642
12/31/2016,,5,5
1/1/2017,,7,7
1/2/2017,54,907,961
1/3/2017,338,4376,4714
1/4/2017,506,4877,5383
1/5/2017,473,4514,4987
1/6/2017,324,3409,3733
1/7/2017,161,1659,1820
1/8/2017,259,3381,3640
1/9/2017,559,5727,6286
1/10/2017,537,5239,5776
1/11/2017,699,5552,6251
1/12/2017,564,4718,5282
1/13/2017,369,3629,3998
1/14/2017,146,1755,1901
1/15/2017,285,2683,2968
1/16/2017,302,4106,4408
1/17/2017,617,6210,6827
1/18/2017,618,6058,6676
1/19/2017,563,5236,5799
1/20/2017,323,3914,4237
1/21/2017,263,2239,2502
1/22/2017,369,4276,4645
1/23/2017,643,6623,7266
1/24/2017,694,6493,7187
1/25/2017,618,6261,6879
1/26/2017,587,5530,6117
1/27/2017,305,3881,4186
1/28/2017,172,2209,2381
1/29/2017,329,4153,4482
1/30/2017,498,6778,7276
1/31/2017,574,6445,7019
2/1/2017,553,6567,7120
2/2/2017,508,5648,6156
2/3/2017,381,4126,4507
2/4/2017,228,2657,2885
2/5/2017,379,3970,4349
2/6/2017,597,6914,7511
2/7/2017,568,6517,7085
2/8/2017,578,6250,6828
2/9/2017,559,4867,5426
2/10/2017,312,3437,3749
2/11/2017,260,2452,2712
2/12/2017,340,4255,4595
2/13/2017,612,6881,7493
2/14/2017,570,6316,6886
2/15/2017,578,6246,6824
2/16/2017,522,5312,5834
2/17/2017,363,4041,4404
2/18/2017,217,2148,2365
2/19/2017,313,3987,4300
2/20/2017,567,6762,7329
2/21/2017,697,6597,7294
2/22/2017,722,6604,7326
2/23/2017,533,5320,5853
2/24/2017,380,3911,4291
2/25/2017,223,2263,2486
2/26/2017,419,4178,4597
2/27/2017,634,6684,7318
2/28/2017,544,5979,6523
3/1/2017,617,6085,6702
3/2/2017,549,5283,5832
3/3/2017,383,4253,4636
3/4/2017,266,2915,3181
3/5/2017,457,4577,5034
3/6/2017,742,7549,8291
3/7/2017,755,7196,7951
3/8/2017,576,6226,6802
3/9/2017,583,6203,6786
3/10/2017,594,5539,6133
3/11/2017,399,4187,4586
3/12/2017,575,5941,6516
3/13/2017,584,6825,7409
3/14/2017,542,5624,6166
3/15/2017,453,5527,5980
3/16/2017,312,4176,4488
3/17/2017,160,2030,2190
3/18/2017,100,540,640
3/19/2017,114,348,462
3/20/2017,136,1229,1365
3/21/2017,158,1227,1385
3/22/2017,131,1192,1323
3/23/2017,140,1226,1366
3/24/2017,137,1101,1238
3/25/2017,87,407,494
3/26/2017,93,898,991
3/27/2017,324,4471,4795
3/28/2017,459,5013,5472
3/29/2017,417,5122,5539
3/30/2017,418,4419,4837
3/31/2017,288,3810,4098
4/1/2017,145,1991,2136
4/2/2017,182,3825,4007
4/3/2017,500,5646,6146
4/4/2017,389,6192,6581
4/5/2017,436,5539,5975
4/6/2017,409,5298,5707
4/7/2017,280,3783,4063
4/8/2017,133,2105,2238
4/9/2017,181,3999,4180
4/10/2017,470,5824,6294
4/11/2017,416,6068,6484
4/12/2017,457,5994,6451
4/13/2017,363,5181,5544
4/14/2017,293,3890,4183
4/15/2017,145,2088,2233
4/16/2017,204,3959,4163
4/17/2017,467,6601,7068
4/18/2017,424,6574,6998
4/19/2017,398,6248,6646
4/20/2017,370,5683,6053
4/21/2017,266,4183,4449
4/22/2017,179,2783,2962
4/23/2017,227,4504,4731
4/24/2017,472,7103,7575
4/25/2017,367,6826,7193
4/26/2017,485,6886,7371
4/27/2017,369,5659,6028
4/28/2017,328,4340,4668
4/29/2017,138,2411,2549
4/30/2017,178,4395,4573
5/1/2017,377,6579,6956
5/2/2017,369,5876,6245
5/3/2017,372,5901,6273
5/4/2017,339,5267,5606
5/5/2017,290,3698,3988
5/6/2017,191,2271,2462
5/7/2017,231,3800,4031
5/8/2017,387,6198,6585
5/9/2017,384,5808,6192
5/10/2017,369,5620,5989
5/11/2017,359,5342,5701
5/12/2017,257,3672,3929
5/13/2017,134,2137,2271
5/14/2017,197,3850,4047
5/15/2017,415,6268,6683
5/16/2017,397,5950,6347
5/17/2017,428,5703,6131
5/18/2017,435,5033,5468
5/19/2017,261,3509,3770
5/20/2017,138,2009,2147
5/21/2017,208,3777,3985
5/22/2017,415,6134,6549
5/23/2017,379,5878,6257
5/24/2017,452,5652,6104
5/25/2017,499,5550,6049
5/26/2017,337,3828,4165
5/27/2017,171,2419,2590
5/28/2017,203,3434,3637
5/29/2017,313,5529,5842
5/30/2017,451,7053,7504
5/31/2017,403,6334,6737
6/1/2017,384,5458,5842
6/2/2017,358,5163,5521
6/3/2017,184,3716,3900
6/4/2017,282,4955,5237
6/5/2017,378,5940,6318
6/6/2017,405,5712,6117
6/7/2017,318,5069,5387
6/8/2017,256,3049,3305
6/9/2017,148,2211,2359
6/10/2017,78,696,774
6/11/2017,117,393,510
6/12/2017,174,1682,1856
6/13/2017,161,1527,1688
6/14/2017,136,1518,1654
6/15/2017,126,1419,1545
6/16/2017,133,1234,1367
6/17/2017,74,467,541
6/18/2017,124,319,443
6/19/2017,152,1787,1939
6/20/2017,137,1824,1961
6/21/2017,247,1978,2225
6/22/2017,176,1888,2064
6/23/2017,147,1517,1664
6/24/2017,104,484,588
6/25/2017,128,536,664
6/26/2017,196,1941,2137
6/27/2017,157,1849,2006
6/28/2017,201,1841,2042
6/29/2017,146,1684,1830
6/30/2017,150,1365,1515
7/1/2017,103,433,536
7/2/2017,100,474,574
7/3/2017,145,1558,1703
7/4/2017,,6,6
7/5/2017,184,1883,2067
7/6/2017,162,1961,2123
7/7/2017,150,1506,1656
7/8/2017,98,503,601
7/9/2017,90,581,671
7/10/2017,159,1887,2046
7/11/2017,163,1965,2128
7/12/2017,219,1756,1975
7/13/2017,146,1980,2126
7/14/2017,120,1310,1430
7/15/2017,110,497,607
7/16/2017,95,595,690
7/17/2017,129,2106,2235
7/18/2017,160,2081,2241
7/19/2017,158,2013,2171
7/20/2017,154,1882,2036
7/21/2017,122,1410,1532
7/22/2017,108,512,620
7/23/2017,94,611,705
7/24/2017,132,1919,2051
7/25/2017,155,1988,2143
7/26/2017,167,1963,2130
7/27/2017,122,1885,2007
7/28/2017,133,1280,1413
7/29/2017,74,406,480
7/30/2017,79,494,573
7/31/2017,151,1780,1931
8/1/2017,126,1648,1774
8/2/2017,133,1800,1933
8/3/2017,137,1582,1719
8/4/2017,113,1238,1351
8/5/2017,75,419,494
8/6/2017,74,472,546
8/7/2017,109,1689,1798
8/8/2017,110,1662,1772
8/9/2017,137,1613,1750
8/10/2017,105,1581,1686
8/11/2017,73,1123,1196
8/12/2017,50,451,501
8/13/2017,80,426,506
8/14/2017,115,1518,1633
8/15/2017,119,1535,1654
8/16/2017,105,1491,1596
8/17/2017,82,1447,1529
8/18/2017,114,1169,1283
8/19/2017,75,391,466
8/20/2017,54,408,462
8/21/2017,94,1435,1529
8/22/2017,115,1524,1639
8/23/2017,131,1488,1619
8/24/2017,102,1631,1733
8/25/2017,125,1200,1325
8/26/2017,56,376,432
8/27/2017,155,10,165
8/28/2017,58,1507,1565
8/29/2017,89,1467,1556
8/30/2017,99,1402,1501
8/31/2017,101,1315,1416
9/1/2017,70,942,1012
9/2/2017,47,344,391
9/3/2017,158,6,164
9/4/2017,,13,13
9/5/2017,125,1602,1727
9/6/2017,106,1639,1745
9/7/2017,112,1502,1614
9/8/2017,124,1290,1414
9/9/2017,63,482,545
9/10/2017,153,8,161
9/11/2017,154,1739,1893
9/12/2017,117,1694,1811
9/13/2017,169,1638,1807
9/14/2017,94,1698,1792
9/15/2017,110,1408,1518
9/16/2017,67,817,884
9/17/2017,164,13,177
9/18/2017,110,2073,2183
9/19/2017,130,2099,2229
9/20/2017,138,2783,2921
9/21/2017,281,2809,3090
9/22/2017,227,2308,2535
9/23/2017,104,1107,1211
9/24/2017,116,1782,1898
9/25/2017,266,6349,6615
9/26/2017,541,6731,7272
9/27/2017,321,6945,7266
9/28/2017,339,6277,6616
9/29/2017,221,4827,5048
9/30/2017,105,2695,2800
10/1/2017,192,4645,4837
10/2/2017,412,7847,8259
10/3/2017,624,7088,7712
10/4/2017,406,7155,7561
10/5/2017,348,6410,6758
10/6/2017,265,4505,4770
10/7/2017,149,2679,2828
10/8/2017,190,5081,5271
10/9/2017,439,8266,8705
10/10/2017,587,7221,7808
10/11/2017,403,7333,7736
10/12/2017,416,7351,7767
10/13/2017,262,4954,5216
10/14/2017,66,1576,1642
10/15/2017,169,5227,5396
10/16/2017,440,8897,9337
10/17/2017,527,8246,8773
10/18/2017,446,7554,8000
10/19/2017,399,6762,7161
10/20/2017,309,4809,5118
10/21/2017,152,3128,3280
10/22/2017,196,4826,5022
10/23/2017,393,7757,8150
10/24/2017,421,7236,7657
10/25/2017,333,7777,8110
10/26/2017,346,6636,6982
10/27/2017,205,4554,4759
10/28/2017,140,2673,2813
10/29/2017,212,5080,5292
10/30/2017,444,7697,8141
10/31/2017,428,6622,7050
11/1/2017,323,6709,7032
11/2/2017,295,6128,6423
11/3/2017,228,4631,4859
11/4/2017,111,2423,2534
11/5/2017,158,4766,4924
11/6/2017,391,7474,7865
11/7/2017,407,6963,7370
11/8/2017,359,7059,7418
11/9/2017,336,6222,6558
11/10/2017,205,4383,4588
11/11/2017,116,2694,2810
11/12/2017,139,4422,4561
11/13/2017,361,7334,7695
11/14/2017,415,6769,7184
11/15/2017,335,6719,7054
11/16/2017,397,5990,6387
11/17/2017,260,4231,4491
11/18/2017,126,2002,2128
11/19/2017,202,4068,4270
11/20/2017,75,6614,6689
11/21/2017,179,4966,5145
11/22/2017,140,2442,2582
11/23/2017,1,3,4
11/24/2017,1,572,573
11/25/2017,63,1605,1668
11/26/2017,97,2923,3020
11/27/2017,403,7462,7865
11/28/2017,422,7382,7804
11/29/2017,339,6650,6989
11/30/2017,310,6443,6753
12/1/2017,300,6147,6447
12/2/2017,219,5394,5613
12/3/2017,351,6151,6502
12/4/2017,372,7481,7853
12/5/2017,351,7225,7576
12/6/2017,366,6673,7039
12/7/2017,269,4972,5241
12/8/2017,143,2716,2859
12/9/2017,51,650,701
12/10/2017,96,477,573
12/11/2017,58,1363,1421
12/12/2017,56,1217,1273
12/13/2017,69,1153,1222
12/14/2017,58,1104,1162
12/15/2017,39,972,1011
12/16/2017,31,282,313
12/17/2017,33,257,290
12/18/2017,44,1010,1054
12/19/2017,49,965,1014
12/20/2017,37,914,951
12/21/2017,27,693,720
12/22/2017,20,487,507
12/23/2017,24,193,217
12/24/2017,3,64,67
12/25/2017,,1,1
12/26/2017,21,394,415
12/27/2017,15,460,475
12/28/2017,22,548,570
12/29/2017,27,434,461
12/30/2017,35,265,300
12/31/2017,14,184,198
1/1/2018,,10,10
1/2/2018,69,1334,1403
1/3/2018,249,4484,4733
1/4/2018,276,4648,4924
1/5/2018,174,3649,3823
1/6/2018,57,2005,2062
1/7/2018,108,3327,3435
1/8/2018,296,6066,6362
1/9/2018,381,6095,6476
1/10/2018,409,6050,6459
1/11/2018,346,5460,5806
1/12/2018,169,3898,4067
1/13/2018,64,1870,1934
1/14/2018,93,2977,3070
1/15/2018,,4512,4512
1/16/2018,397,6330,6727
1/17/2018,391,6338,6729
1/18/2018,341,5812,6153
1/19/2018,245,4119,4364
1/20/2018,101,2734,2835
1/21/2018,147,4775,4922
1/22/2018,320,6929,7249
1/23/2018,341,6791,7132
1/24/2018,348,6592,6940
1/25/2018,318,6065,6383
1/26/2018,196,4275,4471
1/27/2018,114,2781,2895
1/28/2018,128,4806,4934
1/29/2018,262,7246,7508
1/30/2018,310,6842,7152
1/31/2018,349,6961,7310
2/1/2018,261,6118,6379
2/2/2018,199,4431,4630
2/3/2018,126,3091,3217
2/4/2018,106,3955,4061
2/5/2018,216,6943,7159
2/6/2018,287,6744,7031
2/7/2018,272,6444,6716
2/8/2018,292,4790,5082
2/9/2018,72,2452,2524
2/10/2018,73,2124,2197
2/11/2018,64,3812,3876
2/12/2018,232,6849,7081
2/13/2018,279,6373,6652
2/14/2018,291,6200,6491
2/15/2018,302,5766,6068
2/16/2018,196,4290,4486
2/17/2018,82,2587,2669
2/18/2018,113,4220,4333
2/19/2018,271,6790,7061
2/20/2018,280,6368,6648
2/21/2018,344,6786,7130
2/22/2018,301,5939,6240
2/23/2018,192,3979,4171
2/24/2018,77,2616,2693
2/25/2018,113,4341,4454
2/26/2018,290,7242,7532
2/27/2018,289,6711,7000
2/28/2018,287,6415,6702
3/1/2018,298,5640,5938
3/2/2018,229,4576,4805
3/3/2018,99,3134,3233
3/4/2018,145,4986,5131
3/5/2018,298,7190,7488
3/6/2018,292,6971,7263
3/7/2018,311,6536,6847
3/8/2018,249,6419,6668
3/9/2018,223,6135,6358
3/10/2018,176,5037,5213
3/11/2018,286,5669,5955
3/12/2018,255,6951,7206
3/13/2018,226,6387,6613
3/14/2018,206,6008,6214
3/15/2018,29,4585,4614
3/16/2018,47,739,786
3/17/2018,46,476,522
3/18/2018,49,402,451
3/19/2018,70,1304,1374
3/20/2018,54,1202,1256
3/21/2018,48,1265,1313
3/22/2018,62,1228,1290
3/23/2018,47,1023,1070
3/24/2018,47,510,557
3/25/2018,59,972,1031
3/26/2018,212,5004,5216
3/27/2018,322,5223,5545
3/28/2018,297,5415,5712
3/29/2018,355,4658,5013
3/30/2018,162,3799,3961
3/31/2018,86,2049,2135
4/1/2018,100,3544,3644
4/2/2018,267,6227,6494
4/3/2018,279,5704,5983
4/4/2018,282,5902,6184
4/5/2018,324,5478,5802
4/6/2018,146,4089,4235
4/7/2018,132,2561,2693
4/8/2018,126,4227,4353
4/9/2018,312,6666,6978
4/10/2018,300,6250,6550
4/11/2018,316,6327,6643
4/12/2018,312,5767,6079
4/13/2018,165,4095,4260
4/14/2018,95,2515,2610
4/15/2018,123,4007,4130
4/16/2018,282,6373,6655
4/17/2018,284,6526,6810
4/18/2018,303,6305,6608
4/19/2018,307,5753,6060
4/20/2018,161,4160,4321
4/21/2018,107,2895,3002
4/22/2018,155,4580,4735
4/23/2018,313,7068,7381
4/24/2018,269,6857,7126
4/25/2018,328,6626,6954
4/26/2018,287,5898,6185
4/27/2018,170,4156,4326
4/28/2018,124,2724,2848
4/29/2018,166,3982,4148
4/30/2018,295,6188,6483
5/1/2018,300,6011,6311
5/2/2018,271,6067,6338
5/3/2018,307,5399,5706
5/4/2018,198,3994,4192
5/5/2018,132,2421,2553
5/6/2018,148,4192,4340
5/7/2018,325,6290,6615
5/8/2018,347,6315,6662
5/9/2018,325,6179,6504
5/10/2018,301,5654,5955
5/11/2018,161,3984,4145
5/12/2018,97,2482,2579
5/13/2018,115,4111,4226
5/14/2018,277,6408,6685
5/15/2018,262,6683,6945
5/16/2018,322,6281,6603
5/17/2018,329,5801,6130
5/18/2018,178,4238,4416
5/19/2018,69,2293,2362
5/20/2018,151,3981,4132
5/21/2018,344,6120,6464
5/22/2018,359,6680,7039
5/23/2018,367,6265,6632
5/24/2018,401,5988,6389
5/25/2018,196,4205,4401
5/26/2018,157,2988,3145
5/27/2018,248,4413,4661
5/28/2018,,6499,6499
5/29/2018,390,8010,8400
5/30/2018,363,7322,7685
5/31/2018,335,6581,6916
6/1/2018,279,5526,5805
6/2/2018,202,4046,4248
6/3/2018,209,4839,5048
6/4/2018,290,6425,6715
6/5/2018,244,6024,6268
6/6/2018,212,5081,5293
6/7/2018,184,3648,3832
6/8/2018,79,2243,2322
6/9/2018,27,682,709
6/10/2018,74,390,464
6/11/2018,63,1646,1709
6/12/2018,69,1545,1614
6/13/2018,,1590,1590
6/14/2018,,1490,1490
6/15/2018,,1175,1175
6/16/2018,,524,524
6/17/2018,,423,423
6/18/2018,,2057,2057
6/19/2018,,1928,1928
6/20/2018,,2017,2017
6/21/2018,,1504,1504
6/22/2018,,1204,1204
6/23/2018,,462,462
6/24/2018,,442,442
6/25/2018,,1848,1848
6/26/2018,,1765,1765
6/27/2018,,1814,1814
6/28/2018,,1706,1706
6/29/2018,,1375,1375
6/30/2018,,543,543
7/1/2018,,661,661
7/2/2018,,1944,1944
7/3/2018,,1805,1805
7/4/2018,,4,4
7/5/2018,,1739,1739
7/6/2018,,1297,1297
7/7/2018,,566,566
7/8/2018,,492,492
7/9/2018,,2024,2024
7/10/2018,,1913,1913
7/11/2018,,1935,1935
7/12/2018,,1877,1877
7/13/2018,,1276,1276
7/14/2018,,505,505
7/15/2018,,546,546
7/16/2018,,1945,1945
7/17/2018,,1916,1916
7/18/2018,,1864,1864
7/19/2018,,1859,1859
7/20/2018,,1433,1433
7/21/2018,,477,477
7/22/2018,,529,529
7/23/2018,,1864,1864
7/24/2018,,1766,1766
7/25/2018,,1778,1778
7/26/2018,,1806,1806
7/27/2018,,1240,1240
7/28/2018,,429,429
7/29/2018,,413,413
7/30/2018,,1685,1685
7/31/2018,,1617,1617
8/1/2018,,1611,1611
8/2/2018,,1454,1454
8/3/2018,,1126,1126
8/4/2018,,434,434
8/5/2018,,422,422
8/6/2018,,1435,1435
8/7/2018,,1530,1530
8/8/2018,,1491,1491
8/9/2018,,1410,1410
8/10/2018,,1174,1174
8/11/2018,,414,414
8/12/2018,,368,368
8/13/2018,,1538,1538
8/14/2018,,1529,1529
8/15/2018,,1367,1367
8/16/2018,,1261,1261
8/17/2018,,1011,1011
8/18/2018,,393,393
8/19/2018,,373,373
8/20/2018,,1289,1289
8/21/2018,,1367,1367
8/22/2018,,1468,1468
8/23/2018,,1248,1248
8/24/2018,,1101,1101
8/25/2018,,360,360
8/26/2018,,10,10
8/27/2018,,1485,1485
8/28/2018,,1319,1319
8/29/2018,,1228,1228
8/30/2018,,1232,1232
8/31/2018,,974,974
9/1/2018,,355,355
9/2/2018,,3,3
9/3/2018,,7,7
9/4/2018,,1580,1580
9/5/2018,,1535,1535
9/6/2018,1,1323,1324
9/7/2018,,1079,1079
9/8/2018,,428,428
9/9/2018,1,4,5
9/10/2018,47,1551,1598
9/11/2018,19,1600,1619
9/12/2018,21,1628,1649
9/13/2018,40,1594,1634
9/14/2018,81,1222,1303
9/15/2018,22,512,534
9/16/2018,33,5,38
9/17/2018,55,1960,2015
9/18/2018,54,1824,1878
9/19/2018,92,1888,1980
9/20/2018,62,1767,1829
9/21/2018,107,1403,1510
9/22/2018,40,857,897
9/23/2018,161,9,170
9/24/2018,88,2142,2230
9/25/2018,122,2962,3084
9/26/2018,109,2806,2915
9/27/2018,226,2368,2594
9/28/2018,81,1945,2026
9/29/2018,93,1044,1137
9/30/2018,107,1543,1650
10/1/2018,218,5674,5892
10/2/2018,182,6195,6377
10/3/2018,202,6918,7120
10/4/2018,167,6213,6380
10/5/2018,143,4746,4889
10/6/2018,119,2703,2822
10/7/2018,173,4495,4668
10/8/2018,220,7791,8011
10/9/2018,224,7272,7496
10/10/2018,259,6992,7251
10/11/2018,205,6284,6489
10/12/2018,159,4675,4834
10/13/2018,109,2632,2741
10/14/2018,217,4928,5145
10/15/2018,255,7770,8025
10/16/2018,319,7515,7834
10/17/2018,262,8383,8645
10/18/2018,256,6781,7037
10/19/2018,184,4900,5084
10/20/2018,168,3318,3486
10/21/2018,248,5274,5522
10/22/2018,285,7961,8246
10/23/2018,297,7902,8199
10/24/2018,257,7719,7976
10/25/2018,249,6666,6915
10/26/2018,161,4821,4982
10/27/2018,120,3091,3211
10/28/2018,247,5045,5292
10/29/2018,355,8105,8460
10/30/2018,265,7775,8040
10/31/2018,244,7395,7639
11/1/2018,192,6877,7069
11/2/2018,219,4792,5011
11/3/2018,156,3319,3475
11/4/2018,206,5035,5241
11/5/2018,290,8064,8354
11/6/2018,249,7410,7659
11/7/2018,297,7552,7849
11/8/2018,219,6657,6876
11/9/2018,145,4040,4185
11/10/2018,85,2586,2671
11/11/2018,214,4416,4630
11/12/2018,266,7322,7588
11/13/2018,296,7156,7452
11/14/2018,233,6914,7147
11/15/2018,180,6383,6563
11/16/2018,140,4570,4710
11/17/2018,123,2618,2741
11/18/2018,196,4515,4711
11/19/2018,272,6527,6799
11/20/2018,187,5069,5256
11/21/2018,100,2224,2324
11/22/2018,,4,4
11/23/2018,,531,531
11/24/2018,43,1278,1321
11/25/2018,107,2079,2186
11/26/2018,198,5934,6132
11/27/2018,236,6469,6705
11/28/2018,260,7265,7525
11/29/2018,214,6116,6330
11/30/2018,216,4775,4991
12/1/2018,153,3050,3203
12/2/2018,220,5150,5370
12/3/2018,321,7659,7980
12/4/2018,252,7431,7683
12/5/2018,242,6913,7155
12/6/2018,297,6401,6698
12/7/2018,349,5952,6301
12/8/2018,254,4807,5061
12/9/2018,406,5799,6205
12/10/2018,401,7248,7649
12/11/2018,258,6613,6871
12/12/2018,260,5858,6118
12/13/2018,253,4723,4976
12/14/2018,98,2303,2401
12/15/2018,70,450,520
12/16/2018,65,351,416
12/17/2018,69,1118,1187
12/18/2018,50,1066,1116
12/19/2018,37,880,917
12/20/2018,52,824,876
12/21/2018,45,579,624
12/22/2018,21,220,241
12/23/2018,32,142,174
12/24/2018,13,222,235
12/25/2018,,2,2
12/26/2018,32,419,451
12/27/2018,25,490,515
12/28/2018,32,485,517
12/29/2018,49,250,299
12/30/2018,34,204,238
12/31/2018,29,350,379
1/1/2019,,8,8
1/2/2019,66,865,931
1/3/2019,49,992,1041
1/4/2019,91,935,1026
1/5/2019,53,553,606
1/6/2019,57,1005,1062
1/7/2019,197,4847,5044
1/8/2019,190,5468,5658
1/9/2019,152,5410,5562
1/10/2019,141,5201,5342
1/11/2019,187,4277,4464
1/12/2019,102,2137,2239
1/13/2019,108,3993,4101
1/14/2019,222,6561,6783
