"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT10"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-12","14.32"," 1713","0.02",,,,"47","37","  260","25.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-13","11.41"," 0914","0.01",,,,"46","34","  260","23.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-14","15.21"," 2350","0.00",,,,"70","39","  190","28.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-15","14.09"," 0056","0.32",,,,"65","46","  190","30.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-16","8.05"," 2213","0.00",,,,"56","42","   70","15.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-17","11.18"," 1442","1.87",,,,"52","43","   90","28.0","    1",,"    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-18","13.42"," 0638","1.66",,,,"63","40","  150","30.0","    1",,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-19","20.80"," 1331","0.00",,,,"40","33","  250","33.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-20","10.29"," 1153","0.00",,,,"46","30","  310","21.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-21","10.07"," 1321","0.00",,,,"54","33","  120","21.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-22","9.40"," 1527","0.00",,,,"67","42","  100","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-23","10.07"," 2051","0.52",,,,"60","38","   10","18.1","    1",,,,,,,
