"","Date","total_trips"
"365",2016-04-15,61
"366",2016-04-16,49
"367",2016-04-17,65
"368",2016-04-18,72
"369",2016-04-19,59
"370",2016-04-20,75
"371",2016-04-21,57
"372",2016-04-22,57
"373",2016-04-23,48
"374",2016-04-24,63
"375",2016-04-25,50
"376",2016-04-26,61
"377",2016-04-27,45
"378",2016-04-28,39
"379",2016-04-29,40
"380",2016-04-30,9
"381",2016-05-01,17
"382",2016-05-02,52
"383",2016-05-03,58
"384",2016-05-04,50
"385",2016-05-05,54
"386",2016-05-06,81
"387",2016-05-07,41
"388",2016-05-08,35
"389",2016-05-09,42
"390",2016-05-10,30
"391",2016-05-11,61
"392",2016-05-12,65
"393",2016-05-13,86
"394",2016-05-14,29
"395",2016-05-15,41
"396",2016-05-16,71
"397",2016-05-17,54
"398",2016-05-18,59
"399",2016-05-19,78
"400",2016-05-20,72
"401",2016-05-21,46
"402",2016-05-22,72
"403",2016-05-23,61
"404",2016-05-24,91
"405",2016-05-25,31
"406",2016-05-26,45
"407",2016-05-27,71
"408",2016-05-28,39
"409",2016-05-29,52
"410",2016-05-30,68
"411",2016-05-31,54
"412",2016-06-01,62
"413",2016-06-02,75
"414",2016-06-03,81
"415",2016-06-04,38
"416",2016-06-05,59
"417",2016-06-06,55
"418",2016-06-07,91
"419",2016-06-08,56
"420",2016-06-09,61
"421",2016-06-10,73
"422",2016-06-11,37
"423",2016-06-12,26
"424",2016-06-13,53
"425",2016-06-14,49
"426",2016-06-15,58
"427",2016-06-16,70
"428",2016-06-17,52
"429",2016-06-18,27
"430",2016-06-19,21
"431",2016-06-20,58
"432",2016-06-21,57
"433",2016-06-22,50
"434",2016-06-23,67
"435",2016-06-24,60
"436",2016-06-25,30
"437",2016-06-26,26
"438",2016-06-27,53
"439",2016-06-28,64
"440",2016-06-29,50
"441",2016-06-30,53
"442",2016-07-01,63
"443",2016-07-02,56
"444",2016-07-03,40
"445",2016-07-04,37
"446",2016-07-05,55
"447",2016-07-06,56
"448",2016-07-07,70
"449",2016-07-08,60
"450",2016-07-09,29
"451",2016-07-10,44
"452",2016-07-11,70
"453",2016-07-12,61
"454",2016-07-13,67
"455",2016-07-14,52
"456",2016-07-15,68
"457",2016-07-16,34
"458",2016-07-17,35
"459",2016-07-18,86
"460",2016-07-19,62
"461",2016-07-20,72
"462",2016-07-21,64
"463",2016-07-22,72
"464",2016-07-23,14
"465",2016-07-24,22
"466",2016-07-25,58
"467",2016-07-26,69
"468",2016-07-27,58
"469",2016-07-28,57
"470",2016-07-29,45
"471",2016-07-30,47
"472",2016-07-31,26
"473",2016-08-01,72
"474",2016-08-02,53
"475",2016-08-03,57
"476",2016-08-04,37
"477",2016-08-05,70
"478",2016-08-06,30
"479",2016-08-07,42
"480",2016-08-08,54
"481",2016-08-09,59
"482",2016-08-10,54
"483",2016-08-11,61
"484",2016-08-12,47
"485",2016-08-13,19
"486",2016-08-14,60
"487",2016-08-15,35
"488",2016-08-16,49
"489",2016-08-17,99
"490",2016-08-18,86
"491",2016-08-19,71
"492",2016-08-20,31
"493",2016-08-21,33
"494",2016-08-22,62
"495",2016-08-23,48
"496",2016-08-24,41
"497",2016-08-25,48
"498",2016-08-26,56
"499",2016-08-27,37
"500",2016-08-28,22
"501",2016-08-29,68
"502",2016-08-30,64
"503",2016-08-31,59
"504",2016-09-01,40
"505",2016-09-02,58
"506",2016-09-03,43
"507",2016-09-04,41
"508",2016-09-05,31
"509",2016-09-06,50
"510",2016-09-07,52
"511",2016-09-08,48
"512",2016-09-09,42
"513",2016-09-10,15
"514",2016-09-11,21
"515",2016-09-12,54
"516",2016-09-13,76
"517",2016-09-14,65
"518",2016-09-15,57
"519",2016-09-16,63
"520",2016-09-17,42
"521",2016-09-18,66
"522",2016-09-19,52
"523",2016-09-20,48
"524",2016-09-21,54
"525",2016-09-22,79
"526",2016-09-23,55
"527",2016-09-24,34
"528",2016-09-25,41
"529",2016-09-26,78
"530",2016-09-27,72
"531",2016-09-28,66
"532",2016-09-29,61
"533",2016-09-30,62
"534",2016-10-01,29
"535",2016-10-02,32
"536",2016-10-03,62
"537",2016-10-04,84
"538",2016-10-05,79
"539",2016-10-06,34
"540",2016-10-07,72
"541",2016-10-08,26
"542",2016-10-09,47
"543",2016-10-10,98
"544",2016-10-11,78
"545",2016-10-12,54
"546",2016-10-13,61
"547",2016-10-14,73
"548",2016-10-15,58
"549",2016-10-16,38
"550",2016-10-17,60
"551",2016-10-18,88
"552",2016-10-19,81
"553",2016-10-20,70
"554",2016-10-21,61
"555",2016-10-22,52
"556",2016-10-23,40
"557",2016-10-24,65
"558",2016-10-25,70
"559",2016-10-26,37
"560",2016-10-27,73
"561",2016-10-28,59
"562",2016-10-29,45
"563",2016-10-30,42
"564",2016-10-31,68
"565",2016-11-01,85
"566",2016-11-02,52
"567",2016-11-03,60
"568",2016-11-04,57
"569",2016-11-05,61
"570",2016-11-06,37
"571",2016-11-07,73
"572",2016-11-08,55
"573",2016-11-09,65
"574",2016-11-10,65
"575",2016-11-11,44
"576",2016-11-12,44
"577",2016-11-13,29
"578",2016-11-14,54
"579",2016-11-15,47
"580",2016-11-16,65
"581",2016-11-17,58
"582",2016-11-18,42
"583",2016-11-19,20
"584",2016-11-20,32
"585",2016-11-21,36
"586",2016-11-22,45
"587",2016-11-23,32
"588",2016-11-24,9
"589",2016-11-25,12
"590",2016-11-26,20
"591",2016-11-27,22
"592",2016-11-28,24
"593",2016-11-29,54
"594",2016-11-30,41
"595",2016-12-01,37
"596",2016-12-02,41
"597",2016-12-03,26
"598",2016-12-04,10
"599",2016-12-05,33
"600",2016-12-06,43
"601",2016-12-07,23
"602",2016-12-08,26
"603",2016-12-09,20
"604",2016-12-10,11
"605",2016-12-12,13
"606",2016-12-13,8
"607",2016-12-14,5
"608",2016-12-15,7
"609",2016-12-16,2
"610",2016-12-17,3
"611",2016-12-18,2
"612",2016-12-20,6
"613",2016-12-21,4
"614",2016-12-22,11
"615",2016-12-23,4
"616",2016-12-24,4
"617",2016-12-25,2
"618",2016-12-26,2
"619",2016-12-27,11
"620",2016-12-28,6
"621",2016-12-29,12
"622",2016-12-30,5
"623",2017-01-01,2
"624",2017-01-02,16
"625",2017-01-03,32
"626",2017-01-04,17
"627",2017-01-05,27
"628",2017-01-06,19
"629",2017-01-07,17
"630",2017-01-08,10
"631",2017-01-09,19
"632",2017-01-10,28
"633",2017-01-11,19
"634",2017-01-12,19
"635",2017-01-13,22
"636",2017-01-14,14
"637",2017-01-15,20
"638",2017-01-16,9
"639",2017-01-17,34
"640",2017-01-18,34
"641",2017-01-19,35
"642",2017-01-20,25
"643",2017-01-21,29
"644",2017-01-22,23
"645",2017-01-23,40
"646",2017-01-24,33
"647",2017-01-25,31
"648",2017-01-26,25
"649",2017-01-27,24
"650",2017-01-28,11
"651",2017-01-29,8
"652",2017-01-30,29
"653",2017-01-31,33
"654",2017-02-01,45
"655",2017-02-02,34
"656",2017-02-03,29
"657",2017-02-04,17
"658",2017-02-05,13
"659",2017-02-06,40
"660",2017-02-07,27
"661",2017-02-08,30
"662",2017-02-09,46
"663",2017-02-10,25
"664",2017-02-11,30
"665",2017-02-12,10
"666",2017-02-13,42
"667",2017-02-14,37
"668",2017-02-15,47
"669",2017-02-16,50
"670",2017-02-17,44
"671",2017-02-18,38
"672",2017-02-19,16
"673",2017-02-20,66
"674",2017-02-21,61
"675",2017-02-22,66
"676",2017-02-23,49
"677",2017-02-24,34
"678",2017-02-25,15
"679",2017-02-26,13
"680",2017-02-27,59
"681",2017-02-28,37
"682",2017-03-01,33
"683",2017-03-02,41
"684",2017-03-03,31
"685",2017-03-04,19
"686",2017-03-05,12
"687",2017-03-06,55
"688",2017-03-07,59
"689",2017-03-08,40
"690",2017-03-09,50
"691",2017-03-10,36
"692",2017-03-11,15
"693",2017-03-12,17
"694",2017-03-13,12
"695",2017-03-14,10
"696",2017-03-15,16
"697",2017-03-16,35
"698",2017-03-17,24
"699",2017-03-18,6
"700",2017-03-19,16
"701",2017-03-20,25
"702",2017-03-21,28
"703",2017-03-22,22
"704",2017-03-23,26
"705",2017-03-24,31
"706",2017-03-25,4
"707",2017-03-26,12
"708",2017-03-27,51
"709",2017-03-28,53
"710",2017-03-29,46
"711",2017-03-30,48
"712",2017-03-31,50
"713",2017-04-01,25
"714",2017-04-02,27
"715",2017-04-03,46
"716",2017-04-04,46
"717",2017-04-05,14
"718",2017-04-06,66
"719",2017-04-07,55
"720",2017-04-08,35
"721",2017-04-09,39
"722",2017-04-10,60
"723",2017-04-11,66
"724",2017-04-12,59
"725",2017-04-13,48
"726",2017-04-14,49
"727",2017-04-15,57
"728",2017-04-16,48
"729",2017-04-17,56
"730",2017-04-18,62
"731",2017-04-19,59
"732",2017-04-20,86
"733",2017-04-21,62
"734",2017-04-22,44
"735",2017-04-23,61
"736",2017-04-24,66
"737",2017-04-25,75
"738",2017-04-26,62
"739",2017-04-27,50
"740",2017-04-28,40
"741",2017-04-29,21
"742",2017-04-30,22
"743",2017-05-01,39
"744",2017-05-02,59
"745",2017-05-03,59
"746",2017-05-04,62
"747",2017-05-05,48
"748",2017-05-06,62
"749",2017-05-07,42
"750",2017-05-08,67
"751",2017-05-09,58
"752",2017-05-10,49
"753",2017-05-11,60
"754",2017-05-12,68
"755",2017-05-13,56
"756",2017-05-14,45
"757",2017-05-15,69
"758",2017-05-16,80
"759",2017-05-17,51
"760",2017-05-18,79
"761",2017-05-19,25
"762",2017-05-20,24
"763",2017-05-21,21
"764",2017-05-22,80
"765",2017-05-23,41
"766",2017-05-24,42
"767",2017-05-25,67
"768",2017-05-26,60
"769",2017-05-27,69
"770",2017-05-28,59
"771",2017-05-29,64
"772",2017-05-30,68
"773",2017-05-31,73
"774",2017-06-01,76
"775",2017-06-02,73
"776",2017-06-03,82
"777",2017-06-04,60
"778",2017-06-05,80
"779",2017-06-06,66
"780",2017-06-07,80
"781",2017-06-08,87
"782",2017-06-09,56
"783",2017-06-10,46
"784",2017-06-11,28
"785",2017-06-12,59
"786",2017-06-13,72
"787",2017-06-14,38
"788",2017-06-15,60
"789",2017-06-16,41
"790",2017-06-17,28
"791",2017-06-18,26
"792",2017-06-19,70
"793",2017-06-20,64
"794",2017-06-21,77
"795",2017-06-22,96
"796",2017-06-23,68
"797",2017-06-24,39
"798",2017-06-25,27
"799",2017-06-26,78
"800",2017-06-27,73
"801",2017-06-28,75
"802",2017-06-29,73
"803",2017-06-30,55
"804",2017-07-01,39
"805",2017-07-02,47
"806",2017-07-03,103
"807",2017-07-04,71
"808",2017-07-05,80
"809",2017-07-06,96
"810",2017-07-07,71
"811",2017-07-08,44
"812",2017-07-09,47
"813",2017-07-10,65
"814",2017-07-11,72
"815",2017-07-12,69
"816",2017-07-13,75
"817",2017-07-14,64
"818",2017-07-15,35
"819",2017-07-16,44
"820",2017-07-17,78
"821",2017-07-18,69
"822",2017-07-19,97
"823",2017-07-20,58
"824",2017-07-21,72
"825",2017-07-22,45
"826",2017-07-23,54
"827",2017-07-24,74
"828",2017-07-25,79
"829",2017-07-26,67
"830",2017-07-27,82
"831",2017-07-28,82
"832",2017-07-29,37
"833",2017-07-30,25
"834",2017-07-31,68
"835",2017-08-01,70
"836",2017-08-02,94
"837",2017-08-03,57
"838",2017-08-04,78
"839",2017-08-05,58
"840",2017-08-06,50
"841",2017-08-07,65
"842",2017-08-08,88
"843",2017-08-09,84
"844",2017-08-10,93
"845",2017-08-11,84
"846",2017-08-12,67
"847",2017-08-13,61
"848",2017-08-14,61
"849",2017-08-15,76
"850",2017-08-16,63
"851",2017-08-17,63
"852",2017-08-18,78
"853",2017-08-19,46
"854",2017-08-20,56
"855",2017-08-21,64
"856",2017-08-22,63
"857",2017-08-23,98
"858",2017-08-24,81
"859",2017-08-25,69
"860",2017-08-26,32
"861",2017-08-27,28
"862",2017-08-28,63
"863",2017-08-29,72
"864",2017-08-30,75
"865",2017-08-31,79
"866",2017-09-01,82
"867",2017-09-02,31
"868",2017-09-03,40
"869",2017-09-04,36
"870",2017-09-05,45
"871",2017-09-06,85
"872",2017-09-07,61
"873",2017-09-08,74
"874",2017-09-09,39
"875",2017-09-10,42
"876",2017-09-11,77
"877",2017-09-12,69
"878",2017-09-13,78
"879",2017-09-14,68
"880",2017-09-15,75
"881",2017-09-16,31
"882",2017-09-17,41
"883",2017-09-18,91
"884",2017-09-19,82
"885",2017-09-20,79
"886",2017-09-21,106
"887",2017-09-22,115
"888",2017-09-23,81
"889",2017-09-24,66
"890",2017-09-25,108
"891",2017-09-26,112
"892",2017-09-27,114
"893",2017-09-28,134
"894",2017-09-29,104
"895",2017-09-30,62
"896",2017-10-01,80
"897",2017-10-02,133
"898",2017-10-03,100
"899",2017-10-04,119
"900",2017-10-05,124
"901",2017-10-06,91
"902",2017-10-07,53
"903",2017-10-08,85
"904",2017-10-09,144
"905",2017-10-10,121
"906",2017-10-11,85
"907",2017-10-12,112
"908",2017-10-13,112
"909",2017-10-14,23
"910",2017-10-15,68
"911",2017-10-16,114
"912",2017-10-17,112
"913",2017-10-18,134
"914",2017-10-19,114
"915",2017-10-20,119
"916",2017-10-21,86
"917",2017-10-22,58
"918",2017-10-23,61
"919",2017-10-24,45
"920",2017-10-25,124
"921",2017-10-26,115
"922",2017-10-27,83
"923",2017-10-28,52
"924",2017-10-29,52
"925",2017-10-30,90
"926",2017-10-31,84
"927",2017-11-01,83
"928",2017-11-02,84
"929",2017-11-03,93
"930",2017-11-04,21
"931",2017-11-05,50
"932",2017-11-06,76
"933",2017-11-07,98
"934",2017-11-08,83
"935",2017-11-09,70
"936",2017-11-10,45
"937",2017-11-11,40
"938",2017-11-12,34
"939",2017-11-13,69
"940",2017-11-14,69
"941",2017-11-15,60
"942",2017-11-16,68
"943",2017-11-17,54
"944",2017-11-18,18
"945",2017-11-19,30
"946",2017-11-20,69
"947",2017-11-21,60
"948",2017-11-22,49
"949",2017-11-23,16
"950",2017-11-24,20
"951",2017-11-25,21
"952",2017-11-26,34
"953",2017-11-27,81
"954",2017-11-28,92
"955",2017-11-29,84
"956",2017-11-30,69
"957",2017-12-01,78
"958",2017-12-02,49
"959",2017-12-03,49
"960",2017-12-04,59
"961",2017-12-05,46
"962",2017-12-06,48
"963",2017-12-07,50
"964",2017-12-08,51
"965",2017-12-09,15
"966",2017-12-10,11
"967",2017-12-11,32
"968",2017-12-12,33
"969",2017-12-13,22
"970",2017-12-14,26
"971",2017-12-15,25
"972",2017-12-16,13
"973",2017-12-17,9
"974",2017-12-18,26
"975",2017-12-19,29
"976",2017-12-20,23
"977",2017-12-21,31
"978",2017-12-22,17
"979",2017-12-23,9
"980",2017-12-24,3
"981",2017-12-25,1
"982",2017-12-26,2
"983",2017-12-27,1
"984",2017-12-28,5
"985",2017-12-31,1
"986",2018-01-01,2
"987",2018-01-02,9
"988",2018-01-03,19
"989",2018-01-04,21
"990",2018-01-05,25
"991",2018-01-06,8
"992",2018-01-07,6
"993",2018-01-08,31
"994",2018-01-09,35
"995",2018-01-10,36
"996",2018-01-11,42
"997",2018-01-12,31
"998",2018-01-13,17
"999",2018-01-14,16
"1000",2018-01-15,11
"1001",2018-01-16,26
"1002",2018-01-17,33
"1003",2018-01-18,35
"1004",2018-01-19,37
"1005",2018-01-20,19
"1006",2018-01-21,24
"1007",2018-01-22,49
"1008",2018-01-23,29
"1009",2018-01-24,43
"1010",2018-01-25,53
"1011",2018-01-26,62
"1012",2018-01-27,34
"1013",2018-01-28,36
"1014",2018-01-29,40
"1015",2018-01-30,41
"1016",2018-01-31,47
"1017",2018-02-01,43
"1018",2018-02-02,37
"1019",2018-02-03,15
"1020",2018-02-04,4
"1021",2018-02-05,25
"1022",2018-02-06,23
"1023",2018-02-07,24
"1024",2018-02-08,30
"1025",2018-02-09,5
"1026",2018-02-10,5
"1027",2018-02-11,2
"1028",2018-02-12,17
"1029",2018-02-13,29
"1030",2018-02-14,53
"1031",2018-02-15,52
"1032",2018-02-16,43
"1033",2018-02-17,15
"1034",2018-02-18,27
"1035",2018-02-19,34
"1036",2018-02-20,40
"1037",2018-02-21,36
"1038",2018-02-22,58
"1039",2018-02-23,42
"1040",2018-02-24,24
"1041",2018-02-25,37
"1042",2018-02-26,65
"1043",2018-02-27,65
"1044",2018-02-28,79
"1045",2018-03-01,27
"1046",2018-03-02,55
"1047",2018-03-03,24
"1048",2018-03-04,27
"1049",2018-03-05,48
"1050",2018-03-06,46
"1051",2018-03-07,45
"1052",2018-03-08,67
"1053",2018-03-09,66
"1054",2018-03-10,30
"1055",2018-03-11,26
"1056",2018-03-12,59
"1057",2018-03-13,44
"1058",2018-03-14,40
"1059",2018-03-15,57
"1060",2018-03-16,50
"1061",2018-03-17,18
"1062",2018-03-18,12
"1063",2018-03-19,33
"1064",2018-03-20,30
"1065",2018-03-21,47
"1066",2018-03-22,34
"1067",2018-03-23,25
"1068",2018-03-24,6
"1069",2018-03-25,12
"1070",2018-03-26,52
"1071",2018-03-27,70
"1072",2018-03-28,70
"1073",2018-03-29,62
"1074",2018-03-30,56
"1075",2018-03-31,29
"1076",2018-04-01,18
"1077",2018-04-02,60
"1078",2018-04-03,38
"1079",2018-04-04,31
"1080",2018-04-05,54
"1081",2018-04-06,55
"1082",2018-04-07,22
"1083",2018-04-08,22
"1084",2018-04-09,56
"1085",2018-04-10,73
"1086",2018-04-11,80
"1087",2018-04-12,69
"1088",2018-04-13,74
"1089",2018-04-14,29
"1090",2018-04-15,19
"1091",2018-04-16,44
"1092",2018-04-17,75
"1093",2018-04-18,50
"1094",2018-04-19,78
"1095",2018-04-20,77
"1096",2018-04-21,46
"1097",2018-04-22,56
"1098",2018-04-23,72
"1099",2018-04-24,86
"1100",2018-04-25,85
"1101",2018-04-26,92
