"","Date","visitor_count","is_schyr","quarter","year","school_year","enrollment","total_trips","X","Quarter..String.","major_enroll","tot_major_count","totcs","totcy","plotdate","non_cy","cs_pct","STATION","NAME","DATE","AWND","PGTM","PRCP","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"11",2009-07-11,509,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/11/09",7.61,358,1.12,85,68,30,320,18.1,23.9,1,NA,1,NA,NA,NA,1,NA,NA
"12",2009-07-12,512,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/12/09",5.14,943,0,82,60,120,350,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2009-07-13,1781,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/13/09",7.38,1511,0,78,66,80,70,16.1,21.9,NA,NA,NA,NA,NA,NA,1,NA,NA
"14",2009-07-14,1781,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/14/09",7.61,1844,0,81,60,150,140,15,21.9,NA,NA,NA,NA,NA,NA,1,NA,NA
"15",2009-07-15,1773,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/15/09",13.87,1512,0.32,86,67,280,280,25.9,38.9,1,NA,1,NA,NA,NA,NA,NA,NA
"16",2009-07-16,1764,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/16/09",10.29,1714,0.17,82,65,300,300,29.1,38,NA,NA,NA,NA,NA,NA,1,NA,NA
"17",2009-07-17,1347,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/17/09",10.51,1600,0,70,58,320,310,23.9,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2009-07-18,432,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/18/09",7.16,1528,0,73,58,290,280,14.1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2009-07-19,501,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/19/09",4.7,1501,0,73,60,100,80,12.1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2009-07-20,1776,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/20/09",6.49,1802,0,76,59,90,90,16.1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2009-07-21,1810,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/21/09",6.26,1320,0,82,64,130,110,17,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2009-07-22,1721,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/22/09",5.82,1535,0,79,66,80,80,14.1,17,1,NA,NA,NA,NA,NA,1,NA,NA
"23",2009-07-23,1691,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/23/09",6.04,1148,0.1,79,63,70,110,14.1,18.1,1,NA,1,NA,NA,NA,1,NA,NA
"24",2009-07-24,1305,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/24/09",9.62,2350,0.19,83,62,170,170,23,31.1,NA,NA,1,NA,NA,NA,NA,NA,NA
"25",2009-07-25,446,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/25/09",11.41,2355,0,81,66,270,170,21.9,30,NA,NA,1,NA,NA,NA,NA,NA,NA
"26",2009-07-26,482,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/26/09",9.4,1448,0,82,64,280,320,18.1,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2009-07-27,1840,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/27/09",9.62,1543,0.03,84,66,240,240,19.9,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2009-07-28,1829,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/28/09",7.61,59,0.01,86,68,230,210,18.1,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2009-07-29,1689,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/29/09",7.16,940,0,79,66,30,30,16.1,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2009-07-30,1604,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/30/09",6.26,1840,0,80,65,320,320,17,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2009-07-31,1329,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/31/09",6.71,1743,0,82,62,260,250,18.1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2009-08-01,419,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/1/09",10.51,1531,0.01,75,63,240,240,21.9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2009-08-02,402,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/2/09",8.5,1421,0,79,58,250,270,17,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2009-08-03,1600,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/3/09",11.41,1458,0.06,86,68,200,200,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2009-08-04,1653,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/4/09",6.26,1829,0,86,69,40,50,18.1,21,1,NA,NA,NA,NA,NA,1,NA,NA
"36",2009-08-05,1582,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/5/09",5.59,1546,0,79,66,100,80,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2009-08-06,1533,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/6/09",5.59,1354,0,81,62,80,80,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2009-08-07,1310,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/7/09",7.16,1015,0.23,74,67,210,220,14.1,21,1,NA,NA,NA,NA,NA,NA,NA,NA
"39",2009-08-08,377,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/8/09",12.75,1452,0.08,89,69,200,190,23,31.1,1,NA,1,NA,NA,NA,1,NA,NA
"40",2009-08-09,489,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/9/09",12.3,1423,0.02,92,77,230,250,23.9,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2009-08-10,1553,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/10/09",8.95,1616,0,86,71,260,260,19.9,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2009-08-11,1577,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/11/09",8.72,1300,0,81,65,20,50,18.1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2009-08-12,1517,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/12/09",6.93,1231,0,82,63,80,50,14.1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2009-08-13,1474,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/13/09",4.03,1504,0,86,63,110,120,14.1,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2009-08-14,1143,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/14/09",6.49,1318,0,88,67,230,160,15,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2009-08-15,405,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/15/09",8.72,1506,0,89,70,200,200,19.9,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2009-08-16,416,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/16/09",10.07,1206,0.27,90,71,210,210,30,44.1,1,NA,1,NA,NA,NA,1,NA,NA
"48",2009-08-17,1420,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/17/09",7.61,1357,0.59,83,71,270,260,21,25.1,1,NA,1,NA,NA,NA,NA,NA,NA
"49",2009-08-18,1502,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/18/09",8.28,1617,0,84,66,290,310,17,21.9,NA,NA,NA,NA,NA,NA,1,NA,NA
"50",2009-08-19,1453,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/19/09",8.28,2053,0.61,81,64,170,200,18.1,25.1,1,NA,1,NA,NA,NA,NA,NA,NA
"51",2009-08-20,1320,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/20/09",12.75,2126,0.12,79,64,250,240,25.9,35.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"52",2009-08-21,1087,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/21/09",13.2,1703,0.05,74,59,270,320,21.9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2009-08-22,386,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/22/09",10.51,1505,0,69,58,350,40,18.1,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2009-08-23,382,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/23/09",7.61,1457,0,73,58,100,110,13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2009-08-24,1313,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/24/09",5.82,1719,0,79,57,200,180,14.1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2009-08-25,1284,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/25/09",8.5,1344,0,82,61,200,170,18.1,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2009-08-26,1210,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/26/09",7.38,1546,0.54,72,64,30,40,15,18.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"58",2009-08-27,1135,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/27/09",10.96,825,1.19,67,62,70,80,19.9,25.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"59",2009-08-28,1038,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/28/09",5.37,1335,0.28,71,61,20,20,15,19.9,1,NA,NA,NA,NA,NA,NA,NA,NA
"60",2009-08-29,376,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/29/09",11.18,1743,0.01,69,56,320,300,23,28,1,NA,NA,NA,NA,NA,NA,NA,NA
"61",2009-08-30,7,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/30/09",10.51,1257,0,66,51,40,40,17,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2009-08-31,1284,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","8/31/09",6.71,1130,0,67,49,60,80,16.1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2009-09-01,1190,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/1/09",3.58,1535,0,71,50,80,80,12.1,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2009-09-02,1218,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/2/09",3.8,1232,0,72,53,80,100,14.1,18.1,NA,NA,NA,NA,NA,NA,1,NA,NA
"65",2009-09-03,1375,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/3/09",5.82,1052,0,75,57,80,90,13,18.1,1,NA,NA,NA,NA,NA,1,NA,NA
"66",2009-09-04,1069,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/4/09",4.47,1248,0,75,58,30,70,13,17,1,NA,NA,NA,NA,NA,1,NA,NA
"67",2009-09-05,367,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/5/09",5.82,1240,0,78,57,80,100,13,17,1,NA,NA,NA,NA,NA,1,NA,NA
"68",2009-09-06,7,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/6/09",6.71,1654,0,77,66,80,70,15,17,NA,NA,NA,NA,NA,NA,1,NA,NA
"69",2009-09-07,8,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/7/09",6.93,1248,0,77,63,40,40,16.1,19.9,1,NA,NA,NA,NA,NA,1,NA,NA
"70",2009-09-08,1423,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/8/09",8.05,1648,0,78,62,50,50,16.1,19.9,1,NA,NA,NA,NA,NA,1,NA,NA
"71",2009-09-09,1273,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/9/09",7.16,1303,0,77,68,80,80,14.1,19.9,1,NA,NA,NA,NA,NA,1,NA,NA
"72",2009-09-10,1339,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/10/09",7.38,1315,0,80,65,80,70,16.1,21,1,NA,NA,NA,NA,NA,1,NA,NA
"73",2009-09-11,1040,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/11/09",6.71,1225,0,78,64,60,60,16.1,18.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"74",2009-09-12,357,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/12/09",4.47,1530,0,78,61,70,80,14.1,18.1,1,1,NA,NA,NA,NA,1,NA,NA
"75",2009-09-13,9,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/13/09",4.25,1128,0.01,79,57,70,120,10.1,17,1,1,NA,NA,NA,NA,NA,NA,NA
"76",2009-09-14,1390,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/14/09",2.68,1348,0,84,59,100,120,10.1,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2009-09-15,1461,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/15/09",6.71,1450,0,83,63,20,20,18.1,21.9,NA,NA,NA,NA,NA,NA,1,NA,NA
"78",2009-09-16,1353,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/16/09",13.42,1326,0,72,62,30,30,21.9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2009-09-17,1353,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/17/09",5.37,1457,0,71,54,60,60,14.1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2009-09-18,1262,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/18/09",6.71,1455,0,79,52,40,30,16.1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2009-09-19,427,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/19/09",5.82,1343,0,75,58,90,90,13,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2009-09-20,12,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/20/09",7.38,1423,0.44,71,54,60,50,17,21,1,NA,NA,NA,NA,NA,1,NA,NA
"83",2009-09-21,923,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/21/09",5.59,225,0,69,63,240,250,12.1,15,1,NA,NA,NA,NA,NA,1,NA,NA
"84",2009-09-22,1605,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/22/09",7.38,1203,0.04,76,63,170,160,17,23,1,NA,NA,NA,NA,NA,1,NA,NA
"85",2009-09-23,1737,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/23/09",4.7,1518,0,76,62,80,80,10.1,14.1,1,NA,NA,NA,NA,NA,1,NA,NA
"86",2009-09-24,1793,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/24/09",4.47,2033,0,71,64,70,90,10.1,12.1,1,NA,NA,NA,NA,NA,1,NA,NA
"87",2009-09-25,1452,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/25/09",6.26,801,0.02,70,60,110,120,15,18.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"88",2009-09-26,545,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/26/09",4.7,1655,0,66,56,190,180,10.1,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"89",2009-09-27,358,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/27/09",10.29,2345,0.48,74,53,290,310,28,36.9,1,1,1,NA,NA,NA,NA,NA,NA
"90",2009-09-28,2081,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/28/09",20.13,233,0,63,50,290,290,36.9,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2009-09-29,3428,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/29/09",10.29,117,0,58,48,320,300,23,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2009-09-30,3764,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","9/30/09",6.93,1459,0,61,49,90,80,14.1,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2009-10-01,3328,1,4,2009,2009,5134,0,3,"Autumn 2009",5098,5721,35,2201,2010,3520,0.009943182,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","10/1/09",8.72,2228,0.59,59,44,120,120,19.9,25.1,1,NA,1,NA,NA,NA,1,NA,NA
"94",2009-10-02,2716,1,4,2009,2009,5134,0,3,"Autumn 2009",5098,5721,35,2201,2010,3520,0.009943182,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","10/2/09",11.63,837,0.17,56,48,230,240,19.9,29.1,1,NA,NA,NA,NA,NA,NA,NA,NA
