"","Date","visitor_count","is_schyr","quarter","year","school_year"
"252",2010-03-09,5748,1,1,2010,2009
"253",2010-03-10,5105,1,1,2010,2009
"254",2010-03-11,5280,1,1,2010,2009
"255",2010-03-12,4331,1,1,2010,2009
"256",2010-03-13,3184,1,1,2010,2009
"257",2010-03-14,4575,1,1,2010,2009
"258",2010-03-15,5865,1,1,2010,2009
"259",2010-03-16,5468,1,1,2010,2009
"260",2010-03-17,4911,1,1,2010,2009
"261",2010-03-18,3764,1,1,2010,2009
"262",2010-03-19,2177,1,1,2010,2009
"263",2010-03-20,661,1,1,2010,2009
"264",2010-03-21,471,1,1,2010,2009
"265",2010-03-22,1406,1,1,2010,2009
"266",2010-03-23,1326,1,1,2010,2009
"267",2010-03-24,1274,1,1,2010,2009
"268",2010-03-25,1318,1,1,2010,2009
"269",2010-03-26,1168,1,1,2010,2009
"270",2010-03-27,580,1,1,2010,2009
"271",2010-03-28,547,1,1,2010,2009
"272",2010-03-29,3877,1,1,2010,2009
"273",2010-03-30,4321,1,1,2010,2009
"274",2010-03-31,4709,1,1,2010,2009
"275",2010-04-01,4061,1,2,2010,2009
"276",2010-04-02,3194,1,2,2010,2009
"277",2010-04-03,1557,1,2,2010,2009
"278",2010-04-04,2087,1,2,2010,2009
"279",2010-04-05,4943,1,2,2010,2009
"280",2010-04-06,4829,1,2,2010,2009
"281",2010-04-07,4622,1,2,2010,2009
"282",2010-04-08,4464,1,2,2010,2009
"283",2010-04-09,3264,1,2,2010,2009
"284",2010-04-10,1581,1,2,2010,2009
"285",2010-04-11,3054,1,2,2010,2009
"286",2010-04-12,5367,1,2,2010,2009
"287",2010-04-13,5143,1,2,2010,2009
"288",2010-04-14,5030,1,2,2010,2009
"289",2010-04-15,4602,1,2,2010,2009
"290",2010-04-16,3131,1,2,2010,2009
"291",2010-04-17,1797,1,2,2010,2009
"292",2010-04-18,3178,1,2,2010,2009
"293",2010-04-19,5452,1,2,2010,2009
"294",2010-04-20,5162,1,2,2010,2009
"295",2010-04-21,5120,1,2,2010,2009
"296",2010-04-22,4765,1,2,2010,2009
"297",2010-04-23,3217,1,2,2010,2009
"298",2010-04-24,1953,1,2,2010,2009
"299",2010-04-25,3282,1,2,2010,2009
"300",2010-04-26,5698,1,2,2010,2009
"301",2010-04-27,5425,1,2,2010,2009
"302",2010-04-28,5375,1,2,2010,2009
"303",2010-04-29,4922,1,2,2010,2009
"304",2010-04-30,3378,1,2,2010,2009
